scenario_id,case_name,num_generators,time_horizon,objective,solve_time,gap,solver_status,termination_condition,feasible,error
0,case118_reduced,54,24,2200238.3773316373,0.8477153440471739,0.0007668572177994859,ok,optimal,True,
1,case118_reduced,54,24,2339826.7321528303,0.9456260569859296,0.0009550423306270247,ok,optimal,True,
2,case118_reduced,54,24,2237791.6572577143,0.9424827710026875,0.0008838336402039412,ok,optimal,True,
3,case118_reduced,54,24,2036230.944392353,0.7686533540254459,0.0009962703289375426,ok,optimal,True,
4,case118_reduced,54,24,2016176.1427650459,0.7731003109947778,0.0009905110835353177,ok,optimal,True,
5,case118_reduced,54,24,2383009.5007224716,1.0457913179998286,0.0006701206974096132,ok,optimal,True,
6,case118_reduced,54,24,2305128.7340427353,0.8378525259904563,0.000917603615321936,ok,optimal,True,
7,case118_reduced,54,24,2054073.5043693671,1.1312675960361958,0.000966179963493576,ok,optimal,True,
8,case118_reduced,54,24,2501699.2565280613,0.8005956339766271,0.0009939025812320838,ok,optimal,True,
9,case118_reduced,54,24,2589942.166916507,0.739585931005422,0.0009720794369614102,ok,optimal,True,
10,case118_reduced,54,24,2216471.6652872916,0.9461767799803056,0.00046669660872554307,ok,optimal,True,
11,case118_reduced,54,24,2067761.500894211,0.5596690690144897,0.0007445512613372758,ok,optimal,True,
12,case118_reduced,54,24,2420348.774276793,0.5857821889803745,0.0008331897179082173,ok,optimal,True,
13,case118_reduced,54,24,1971827.1565644986,1.0437335859751329,0.000555770709533856,ok,optimal,True,
14,case118_reduced,54,24,1972232.2408556947,0.9604663350037299,0.0007362564435771308,ok,optimal,True,
15,case118_reduced,54,24,2484100.23918674,1.2268384710187092,0.0007854820335790012,ok,optimal,True,
16,case118_reduced,54,24,2312815.8911950323,1.0354210610385053,0.0008407416009720846,ok,optimal,True,
17,case118_reduced,54,24,2257055.7839641874,0.9719411119585857,0.0007731267741011959,ok,optimal,True,
18,case118_reduced,54,24,2527565.9011455253,1.0298027279786766,0.0009579870445096789,ok,optimal,True,
19,case118_reduced,54,24,2532786.2441139026,0.9039537410135381,0.0008100353106975288,ok,optimal,True,
