from_bus,to_bus,x,rate
0,1,0.09480834590844275,250.81350376147526
1,2,0.05280250369197617,107.4202012944964
2,3,0.023228114428489294,304.5746202387918
3,4,0.07060047304367136,308.05735590906943
4,5,0.09557510062501491,104.22644445066645
5,6,0.02690122013048745,318.5408800173702
6,7,0.08213610047761993,159.44606253978884
7,8,0.07425402415177781,212.79954427786305
8,9,0.055073230464254316,197.560081745716
9,10,0.07444353452267817,229.4749218050676
10,11,0.07902967775473169,210.878320474941
11,12,0.028474960029195154,290.10232075949136
12,13,0.032745048357995424,233.81975633178251
13,14,0.08458843734878234,311.4468212169065
14,15,0.013925498600149841,338.72867138215975
15,16,0.021533971931726188,253.00917093936286
16,17,0.04767228138278982,210.74374599832902
17,18,0.06928246184211859,129.5302806579366
18,19,0.02226749711009108,254.39818686979945
19,20,0.04200860188750086,342.7702056105961
20,21,0.016225412560272698,111.05864803163425
21,22,0.022277831495928893,225.13399843651098
22,23,0.02646179002548347,282.53348208175163
23,24,0.04259911374019331,297.21227148114554
24,25,0.09653712553024144,186.10000803812056
25,26,0.04679922228748845,263.7279090117536
26,27,0.037107960888114806,126.3334507886255
27,28,0.075423544226913,199.16755299077835
28,29,0.07186198118948253,241.29669722375573
29,30,0.09993515033893287,222.9473534197262
30,31,0.03095653816115078,211.66496376659353
31,32,0.0601133686765561,173.13067426829713
32,33,0.07685535125848889,248.34740764080334
33,34,0.06790863063713252,127.36752999594347
34,35,0.09557754898643872,212.44333981830692
35,36,0.014287781236617916,119.22417156969183
36,37,0.08534157021522802,147.11373807273924
37,38,0.08430521446632518,307.65090829725375
38,39,0.08068826541655416,250.48629145745727
39,40,0.064381788168699,167.25392092644498
40,41,0.013756849493208604,277.6637251210251
41,42,0.011342163406141897,105.33630911470142
42,43,0.06760217249814567,337.8412316490316
43,44,0.030374972328689825,101.78389897753084
44,45,0.08758431022878413,234.60847670507442
45,46,0.03960446951690176,156.98882907169886
46,47,0.07028862525509044,302.70690649361745
47,48,0.09884776261546847,172.0467152554873
48,49,0.09467059139598637,200.1460478075718
49,50,0.01178796039625599,140.55890484706748
50,51,0.03843571418965235,122.28468339926509
51,52,0.05572486574221612,117.6377978739386
52,53,0.014834919447574972,253.50052701140427
53,54,0.015589537090920043,297.52159635772557
54,55,0.01050598941685285,109.33424060647903
55,56,0.0517120692792017,321.36239081793167
56,57,0.022299015987119617,115.54608759706238
57,58,0.03428192751268642,146.59692445267152
58,59,0.07461889855354897,119.78278046909281
59,60,0.06552397403658579,108.643965708147
60,61,0.08614134099689849,194.89782109672683
61,62,0.026225428383507145,216.7385150648907
62,63,0.04119939735042702,199.03015788520298
63,64,0.06424032061158765,262.3128641302245
64,65,0.02078678551775585,227.51592176071924
65,66,0.08731914538061394,260.3987258600383
66,67,0.06592725659309394,257.92125898903305
67,68,0.018948546454395254,224.41150151096755
68,69,0.08519626000360464,288.3174649660534
69,70,0.06897455110108767,269.2516778977966
70,71,0.017466047407114417,238.25452115362745
71,72,0.08314934479083727,290.2024733153382
72,73,0.09045765559224415,319.87359626116324
73,74,0.018087217863878402,273.1306326495162
74,75,0.04612046474110068,182.49798024952707
75,76,0.034141590453307,343.06569337625024
76,77,0.05848192378415731,260.2174349935778
77,78,0.020495895121745607,198.08059305768114
78,79,0.037562661390341444,223.83766234271664
79,80,0.02791538351127435,329.25652900808984
80,81,0.05487450208205306,299.9820336909305
81,82,0.0984256424541469,297.88735570070196
82,83,0.044764987771874945,297.86849303680873
83,84,0.05691389598455136,123.83904841208303
84,85,0.01057590061369652,174.5888714792502
85,86,0.02052413914158873,267.9683751081985
86,87,0.028625004604524995,311.352586983328
87,88,0.07339570429624782,190.83746539082088
88,89,0.08490025247027119,167.53478128835593
89,90,0.01574757246894198,194.20730892445022
90,91,0.048653642456560744,192.71579096007991
91,92,0.04584464558242767,227.18836101590085
92,93,0.014612681754411872,238.72616336352326
93,94,0.022467240271304166,162.94954513548416
94,95,0.022517102438343886,132.487616405641
95,96,0.03813189619201361,296.9781851785722
96,97,0.048786457682357315,321.6699655957419
97,98,0.05066639686946426,245.21257863443515
98,99,0.010941762981220973,304.5754870915117
99,100,0.07289866730121028,147.4709317342123
100,101,0.07649310462073908,259.8333903286692
101,102,0.025583085648086416,132.9810052115122
102,103,0.0618736992512036,108.34150336402014
103,104,0.03704996399926001,324.56557224076687
104,105,0.06849736778575242,219.15446957345065
105,106,0.03717587967515977,297.40189936388504
106,107,0.08279431726347448,213.6754073173563
107,108,0.018043357602249916,202.0557298491313
108,109,0.07845410927999429,131.05305902185373
109,110,0.07525993967570926,344.35686772365875
110,111,0.04786160595908062,328.66326990265225
111,112,0.07903151696777751,185.69873778162545
112,113,0.061191162175683295,148.85471524956213
113,114,0.03868474967987992,308.7359088937401
114,115,0.08091611771814267,314.0159384621019
115,116,0.08390536785689676,269.71202108557395
116,117,0.060022950412288556,130.96275830272737
111,11,0.05081241855384555,182.40334257506953
61,23,0.09718421163667428,117.77339208409558
71,16,0.020119040135477433,281.12537316366195
98,35,0.11531935078249766,209.61228181058203
18,115,0.06839570416306512,100.29643254146987
2,115,0.09326974630891625,223.38994154485687
68,46,0.060081007604833835,250.00563065422776
113,90,0.04094157169899489,107.38845963370824
99,95,0.0760960923856038,171.51207723270687
110,59,0.0879154910377514,156.86791537648725
116,105,0.013550255621275422,141.59751290558972
29,47,0.05822758132834819,171.029034689181
85,5,0.10456286170578229,189.53350332992423
87,20,0.09744605698554136,93.23266333288717
83,107,0.03927900151632138,130.51745694951757
107,16,0.03867100565586213,214.81992238889308
76,107,0.10155398168079502,251.03200259256994
10,62,0.010464864468376883,223.8352142306861
4,107,0.026954759315067307,102.28107750217852
65,97,0.024166043188168968,286.8722063716792
34,12,0.04389001263863062,85.14014532405187
103,26,0.028477301658085423,103.46117348274748
76,112,0.04077247748154431,119.80574682915335
91,107,0.0833978896995388,283.1492668735216
109,1,0.054470122611779755,180.5058630170015
47,86,0.052051733491353926,110.65489209176224
0,106,0.04857530997066721,197.58690221716606
91,110,0.11241860806465118,277.61403195466096
29,55,0.11068942798698857,136.0035128246544
101,91,0.016491791792246455,152.53547214529164
53,77,0.05056678322135871,132.95790072613326
27,32,0.010361985231809645,138.1509013251345
52,7,0.02698681073690684,131.33614222819313
106,57,0.09017160513450904,126.72143077297277
78,6,0.0873708014627479,103.393463860491
84,67,0.03904447419082869,149.19902909240022
64,27,0.024319518094362166,204.17360030303144
46,22,0.1131419911281941,142.7591832266271
104,3,0.05218380803053452,102.96536420617144
