from_bus,to_bus,x,rate
0,1,0.019058063977229645,296.0722947007995
1,2,0.04996565969680232,303.0304140283762
2,3,0.0916411066284026,269.8360305343122
3,4,0.0339834299682623,226.4448289126825
4,5,0.03953786558581894,271.4972482321043
5,6,0.0749397783892097,313.01608891449087
6,7,0.0461502388785135,293.7715358888574
7,8,0.029018090232573915,209.55768329974566
8,9,0.028984327270129534,303.70671260925565
9,10,0.08224957192388993,279.5615163288427
10,11,0.0392039499201918,286.8919078609008
11,12,0.07664233939579593,302.6815562608741
12,13,0.035245465747227665,187.38530007906886
13,14,0.09556494989745505,175.68970423829228
14,15,0.03482635710525203,132.6793564894095
15,16,0.07021618533433882,110.62807129756598
16,17,0.09570656986507468,338.8416407648867
17,18,0.09365701306058496,149.18214935885533
18,19,0.01677389619174641,151.89998578806814
19,20,0.011015377346213781,194.90209180034537
20,21,0.07744812259014419,264.02624445281344
21,22,0.013326502397869623,338.2094014766579
22,23,0.017144644856853377,284.90255999883794
13,8,0.011648159028005044,273.8679971604648
12,5,0.09462267762654002,197.45330419803253
8,10,0.10556094373879554,132.36197934068593
19,4,0.10494588171966278,87.05624004539506
23,3,0.0808545822007282,212.4562218195648
21,12,0.07900298575338774,174.45793408642956
22,23,0.06515337822288207,128.81347737155724
11,16,0.04127878335224929,129.8804262772527
