epoch,train_loss,val_loss,train_bitwise_accuracy,val_bitwise_accuracy,train_exact_match,val_exact_match,val_f1_micro
1,0.6339485934802465,0.4134962856769562,0.6996527777777778,0.9246527777777778,0.0,0.0,0.9246527777777778
2,0.3566605261393956,0.24525536596775055,0.9327628968253968,0.924537037037037,0.0,0.0,0.924537037037037
3,0.21379026898315975,0.19042281806468964,0.9332589285714286,0.9263888888888889,0.0,0.0,0.9263888888888889
4,0.1705296320574624,0.1820797175168991,0.9314484126984127,0.9259259259259259,0.0,0.0,0.9259259259259259
5,0.1624036112001964,0.180209219455719,0.9311011904761904,0.9241898148148148,0.0,0.0,0.9241898148148148
6,0.1592018732002803,0.17509587109088898,0.9296875,0.9233796296296296,0.0,0.0,0.9233796296296296
7,0.15607031754084996,0.16776970028877258,0.9307787698412698,0.9253472222222222,0.0,0.0,0.9253472222222222
8,0.15090126395225525,0.16404315829277039,0.9328125,0.9266203703703704,0.0,0.0,0.9266203703703704
9,0.1490669880594526,0.1614820957183838,0.9333829365079365,0.9288194444444444,0.0,0.0,0.9288194444444444
10,0.14559352312769208,0.1577339619398117,0.9348710317460317,0.9311342592592593,0.0,0.0,0.9311342592592593
11,0.14215293952396937,0.15242615342140198,0.9369295634920635,0.9351851851851852,0.0,0.0,0.9351851851851852
12,0.13752801333154951,0.14546386897563934,0.9401041666666666,0.9416666666666667,0.0,0.0,0.9416666666666667
13,0.13233218491077423,0.1417757272720337,0.9436755952380952,0.9413194444444445,0.0,0.0,0.9413194444444445
14,0.1280014489378248,0.14027294516563416,0.9450892857142857,0.9400462962962963,0.0,0.0,0.9400462962962963
15,0.1258584580251149,0.13779444992542267,0.9468998015873016,0.9422453703703704,0.0,0.0,0.9422453703703704
16,0.12382241487503051,0.13676749169826508,0.9466269841269841,0.9423611111111111,0.0,0.0,0.9423611111111111
17,0.12192787783486503,0.1362936645746231,0.9472222222222222,0.9421296296296297,0.0,0.0,0.9421296296296297
18,0.11995505733149392,0.1348484456539154,0.9473958333333333,0.9425925925925925,0.0,0.0,0.9425925925925925
19,0.11900802978447506,0.1339375227689743,0.9476190476190476,0.9434027777777778,0.0,0.0,0.9434027777777778
20,0.11747886070183346,0.13314080238342285,0.9481646825396826,0.9445601851851851,0.0,0.0,0.9445601851851851
21,0.11718513731445585,0.1321461945772171,0.9499751984126984,0.9440972222222223,0.0,0.0,0.9440972222222223
22,0.11635706424713135,0.13312189280986786,0.9496775793650793,0.9436342592592593,0.0,0.0,0.9436342592592593
23,0.11537523418664933,0.1379646509885788,0.949156746031746,0.9408564814814815,0.0,0.0,0.9408564814814815
24,0.11565015486308507,0.13525715470314026,0.9491815476190476,0.9424768518518518,0.0,0.0,0.9424768518518518
25,0.11266666735921588,0.13655884563922882,0.9512152777777778,0.9432870370370371,0.0,0.0,0.9432870370370371
26,0.11432951582329613,0.135956272482872,0.9506696428571428,0.94375,0.0,0.0,0.94375
27,0.1116247011082513,0.13619381189346313,0.9517113095238096,0.9436342592592593,0.0,0.0,0.9436342592592593
28,0.11178123567785536,0.1331114023923874,0.9518353174603175,0.9444444444444444,0.0,0.0,0.9444444444444444
29,0.109876206942967,0.1327572911977768,0.9519345238095238,0.94375,0.0,0.0,0.94375
